sku,from_path,to_path
"PK-0132B","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0134M","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0131B","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-103S","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-103G","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0133B","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0166","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"BKMPH-WHT","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"LPO500-WHT","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PVC-07","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0071","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0108","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PVC-08","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0084","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0101S","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0115","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0080","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"PK-0092","Packaging & Storage > Packaging Packets and Bags","Packaging & Storage > Packaging Packets and Bags > Resealable PVC"
"BOXP37","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"GB0045-NAT","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"GB0041-BLK","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"15117","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR115","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR129","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"15116","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"8626000188B","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"BOXP19","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"27274","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"15093","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR133","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"27429","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR130","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"27428","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR125","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"27281","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"8626000186","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR119","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"JAR106","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"GB0021-WHT","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"26113","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"BOXP22","Packaging & Storage > Display","Homeware > Kitchen > Glass Jars"
"870022-BLU","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"860022-GRN","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"0016-GRY","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"S-007DPNKB","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"TBAG48-TAN","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"TRH1-MAR","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"0018-BEI","Packaging & Storage > Jewellery Bags > Cotton","Textiles > Ribbon & Trim"
"2M25-LBLU","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"8616500018","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M30-GLD","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M05-GRY","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M20-PUR","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"3M05-GRY","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"3M22-RBLU","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"5M30-GLD","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"4M31-WHT","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M22-RBLU","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"3M31-WHT","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M21-RED","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M31-WHT","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M30-GLD","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"5M32-BLK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M08-DPNK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"0012-NAT","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"3M08-DPNK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M32-BLK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"4M32-BLK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"8616500229-SIL","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"8616500230-SIL","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"0005-NAT","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"0005-BLK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M05-GRY","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"3M30-GLD","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M31-WHT","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M32-BLK","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"1M21-RED","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"0005-BLK.1","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"5M21-RED","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"2M22-RBLU","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"4M05-GRY","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"3M21-RED","Packaging & Storage > Jewellery bags","Textiles > Ribbon & Trim"
"4M30-GLD","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"4M21-RED","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"0011-NAT","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"3M33-DBLU","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"5M05-GRY","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"1M07-LPNK","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"1M10-ORG","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"1M25-LBLU","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"2M33-DBLU","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"3M32-BLK","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"0004-BLK","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"0005-GRY","Packaging & Storage > Jewellery bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"TBAG18-TAN","Fashion & Accessories > Synthetic Bags > Handbags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"860001-BLK","Fashion & Accessories > Synthetic Bags > Handbags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"860001-ORG","Fashion & Accessories > Synthetic Bags > Handbags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"860001-TAU","Fashion & Accessories > Synthetic Bags > Handbags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"LS20-BLK","Fashion & Accessories > Synthetic Bags > Handbags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"LS20-TAN","Fashion & Accessories > Synthetic Bags > Handbags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"BB-002BLU","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0029-CRM","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0001-PNK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0010-BLK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"870012-BLK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"860010-BRN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0016-BEI","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0020-BEI","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique"
"0028-BLK-26","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"0005-WHT-60","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200120-NAT","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200059-BLK","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200041-GRY","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200115-NAT","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"8616200066-CRM","Packaging & Storage > Tags","Jewellery > Jewellery > Jewellery Display Stands"
"PUR-0075","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"0009-BLK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"0019-NAT","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"BB-002YEL","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"SENP-L-TAN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"0031-DBLU","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"TBAG33-TAN","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Jewellery Bags > Cotton"
"8616200010-TRN","Packaging & Storage > Tags","Jewellery > Jewellery > Necklaces > Earth Stones"
"8616200046-WHT","Packaging & Storage > Tags","Jewellery > Jewellery > Necklaces > Earth Stones"
"0026-REDBLK","Fashion & Accessories > Synthetic Bags","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper"
"8616200100-GRY","Packaging & Storage > Tags","Jewellery > Jewellery > Earrings > Earth Stones"
"8616200102-NAT","Packaging & Storage > Tags","Jewellery > Findings > Rings"
"8616200060-WHT","Packaging & Storage > Tags","Electronics & Accessories > Clocks & Watches > Watches"
